server,osobaid,datum,id,pocetSlov,Sentiment,ethos,pathos,logos,neg,neu,pos,manipulation,populism,topics,entities
Twitter,andrej-babis,07.04.2021 0:00:00,2a85da809f93287e5692920edc7710c7,26,0,0.5,0.4,0.6,0,1,0,0.2,0.3,"podpora kultury;covid-19;finanční pomoc;žádosti o dotace","33;COVID Kultura"
Facebook,andrej-babis,14.10.2016 0:00:00,2A880298EAFDC6EBE55D903DE63BF6BE,146,0.4836,0.5,0.7,0.6,0.069,0.849,0.082,0.4,0.6,"volby;účast voličů;politická soutěž;senát","Senát"
Facebook,andrej-babis,14.02.2021 0:00:00,2a890eaf58429d7fd502705b3c4061ef,71,-0.6808,0.5,0.2,0.8,0.072,0.928,0,0.1,0.3,"nouzový stav;vládní rozhodnutí;úřední hodiny;školství;podnikání",""
Twitter,andrej-babis,06.10.2019 0:00:00,2aa30ecdb16a56f51f6def22eefba25b,16,0.6086,0.5,0.8,0.2,0.149,0.527,0.324,0.1,0,"","Chramostová"
Twitter,andrej-babis,25.08.2020 0:00:00,2aa65c7f1017c45981f10af89f4d9109,41,0.7837,0.6,0.5,0.7,0,0.85,0.15,0.4,0.3,"výroba vakcín;covid-19;investice v čr",""
Twitter,andrej-babis,01.10.2019 0:00:00,2aa90a3ad49660ca2ebf964fa73dd97b,31,0.6249,0.6,0.2,0.7,0,0.887,0.113,0.1,0.3,"",""
Twitter,andrej-babis,18.01.2021 0:00:00,2aab0d4955d36cebd5e142d0fa294004,36,0.7351,0.6,0.2,0.8,0,0.785,0.215,0.1,0.3,"podpora bydlení;finanční prostředky",""
Twitter,andrej-babis,22.09.2020 0:00:00,2ab05fc2dfa04bc690b7a8dc3ab13b2b,19,0.4767,0.7,0.3,0.5,0,0.83,0.17,0.2,0.1,"nový ministr zdravotnictví","Prymula"
Twitter,andrej-babis,10.02.2020 0:00:00,2ab9910047d291b76390ba438c21c790,36,0.2732,0.6,0.5,0.7,0.053,0.852,0.095,0.3,0.2,"dopravní problémy",""
Twitter,andrej-babis,04.06.2021 0:00:00,2abbab12386d4dbca619592d8fd884d7,44,0.8748,0.5,0.7,0.6,0,0.796,0.204,0.4,0.3,"mezinárodní spolupráce;vakcinace","BioNTech Pfizer;Národního očkovacího centra v O 2 universum;O 2 universum;Szijjártó"
Twitter,andrej-babis,12.10.2020 0:00:00,2abbe49ccab24e1e9ccbba48f570fb7d,41,0.2036,0.5,0.3,0.8,0.112,0.7455,0.1425,0.2,0.1,"covid-19;aplikace erouška;testování;pozitivní případy",""
Facebook,andrej-babis,01.10.2017 0:00:00,2acba0c2012cd7d64c408df348fd01b9,111,0.8555,0.5,0.6,0.3,0.017,0.891,0.092,0.4,0.7,"výstavba silnic;komunikace s voliči;zaměstnanost;sociální interakce","Ťok"
Twitter,andrej-babis,11.04.2020 0:00:00,2acec54dbe8a38a284f892dd04210890,18,0.6696,0.4,0.7,0.3,0,0.703,0.297,0.5,0.6,"ochrana zdraví;společenská odpovědnost",""
Twitter,andrej-babis,06.01.2020 0:00:00,2acf96d33c98b660c8d59d37cae523dc,31,0.8555,0.6,0.2,0.8,0,0.778,0.222,0.1,0.3,"","Národního úřadu pro kybernetickou bezpečnost"
Facebook,andrej-babis,12.07.2020 0:00:00,2ad0c37049bc85b590bfda24c78ccd04,26,0.1227,0.4,0.5,0.7,0,0.9607,0.0393,0.6,0.3,"","Bakala;TOP 09"
Twitter,andrej-babis,20.03.2020 0:00:00,2ae69e1ec0f15a69d36dbb9c240df923,42,-0.7734,0.6,0.5,0.7,0.125,0.852,0.023,0.4,0.3,"nouzový stav",""
Facebook,andrej-babis,18.03.2017 0:00:00,2AED1C6F5688A342E38A530714EF54E3,50,0.9898,0.7,0.8,0.2,0,0.539,0.461,0.4,0.5,"oslava narozenin","David;Grand Hotel Pupp;Hopi;No name;Piškanin;Vondráčková;Vágner"
Twitter,andrej-babis,06.11.2020 0:00:00,2aef20680e233a2d1faf0f4c7bcf829f,42,0.2202,0.5,0.2,0.7,0,0.867,0.133,0.1,0.3,"",""
Twitter,andrej-babis,23.12.2020 0:00:00,2aef36fca6d1c19437b3f68d41686e2e,44,-0.4133,0.5,0.7,0.4,0.107,0.817,0.076,0.3,0.2,"pandemie","Bílý Kříž;VN Olomouc;ÚVN"
Twitter,andrej-babis,19.02.2020 0:00:00,2af1be4d34eba07a16fda2c12c1c3047,32,0.5423,0.6,0.3,0.7,0,0.899,0.101,0.2,0.1,"",""
Twitter,andrej-babis,01.01.2020 0:00:00,2af1f262c0d48f1304e3bc7431dcba23,17,0.4588,0.3,0.5,0,0,0.85,0.15,0.4,0.6,"osobní názor;veřejné vystoupení;diskuze","ČT 1"
Facebook,andrej-babis,23.11.2020 0:00:00,2af2cb37742340bdce422672bf3dae40,7,0.4033,0,0.5,0,0,0.787,0.213,0,0,"politika;ráno",""
Facebook,andrej-babis,29.04.2020 0:00:00,2af4a91f8a42e0876d359996a10fca12,42,0.8131,0.5,1,0,0.033,0.808,0.159,0,0,"podpora;rodina;zdraví",""
Facebook,andrej-babis,01.03.2019 0:00:00,2AFE2B5D43FA1E0571B561E6BC017AB3,12,0.4588,0.5,0.3,0.2,0,0.85,0.15,0.1,0.2,"mezinárodní spolupráce;umění","Centre Pompidou;Lasvignes;Národní galerie Praha"
Facebook,andrej-babis,28.04.2017 0:00:00,2b073c6980a9ca903726d1d0aa36fd51,75,0.8074,0.6,0.7,0.5,0.028,0.842,0.129,0.2,0.4,"","Gymnázium Vídeňská;Masarykovu univerzitu v;Masarykovu univerzitu v Brně"
Twitter,andrej-babis,21.10.2019 0:00:00,2b0767346f29a0379afe9a6533ebfee8,40,0.1531,0.6,0.5,0.7,0.042,0.903,0.056,0.4,0.3,"rodinné firmy;legislativa;vzdělávání","MPO"
Facebook,andrej-babis,17.02.2019 0:00:00,2b08d1f82d40bae7777247952efabc69,5,0.4574,0.3,0.5,0.2,0,0.626,0.374,0.4,0.6,"politická akce;sněm;účast veřejnosti",""
Facebook,andrej-babis,01.12.2019 0:00:00,2b09580be589e752e79954998ab2c180,90,0.2263,0.6,0.5,0.7,0.03,0.924,0.047,0.4,0.5,"klimatický summit","Brabec;EU;Havlíček"
Facebook,andrej-babis,29.02.2020 0:00:00,2b0ac845ff684025f2d6fe71c0067563,12,0.6908,0.1,0.5,0.2,0,0.695,0.305,0.3,0.4,"covid-19;štěstí",""
Facebook,andrej-babis,17.04.2021 0:00:00,2b1a3484f90b2ba75e461e1822a456c3,37,0.4019,0.5,0.4,0.6,0,0.924,0.076,0.3,0.2,"sněmovna","ANO 2011;Sněmovna"
Facebook,andrej-babis,23.03.2021 0:00:00,2b1d233668cf5ed5833c6c9f90d618e9,19,0.21,0.7,0.3,0.5,0,0.899,0.101,0.2,0.1,"zdravotnictví;rozhovor","Fakultní nemocnici u svaté Anny;I interní kardioangiologické kliniky;Rezkem"
Twitter,andrej-babis,31.03.2020 0:00:00,2b1f454a1b8e75be6a3516f489fb78b1,38,-0.0516,0.7,0.6,0.8,0.105,0.795,0.1,0.4,0.5,"podpora zoologických zahrad;finanční pomoc",""
Twitter,andrej-babis,15.01.2020 0:00:00,2b25bc59b744ecca6239ac6a8eec590e,39,0.6808,0.6,0.5,0.7,0,0.85,0.15,0.4,0.3,"telemedicína","FN Olomouc"
Twitter,andrej-babis,22.05.2020 0:00:00,2b2c35011c5923a61a6c3c3d68d64fee,45,-0.2411,0.6,0.5,0.7,0.033,0.967,0,0.4,0.5,"",""
Twitter,andrej-babis,22.10.2020 0:00:00,2b344358b4f08c260940cf9318b010c3,16,0,0.3,0.2,0.4,0,1,0,0.1,0.2,"",""
Facebook,andrej-babis,22.03.2019 0:00:00,2b36357e78a9e1112d497c953820a6a0,6,0.4588,0,0.2,0,0,0.769,0.231,0,0.1,"brusel;fotografie",""
Twitter,andrej-babis,25.11.2020 0:00:00,2b373a52610a4c860d8e5127eaf58046,22,0.128,0.6,0.3,0.7,0,0.957,0.043,0.2,0.1,"",""
Twitter,andrej-babis,04.03.2020 0:00:00,2b390116d8240928d12f64482345832a,38,-0.2023,0.6,0.3,0.8,0.079,0.86,0.061,0.2,0.1,"",""
Twitter,andrej-babis,15.08.2020 0:00:00,2b3bfbb143842d09bb5ef0afed45d3d8,41,0.1531,0.5,0.2,0.8,0,0.95,0.05,0.1,0.1,"stavba","Jhč;Krajského úřadu Jhč kraje;MD;ŘSD"
Twitter,andrej-babis,02.07.2020 0:00:00,2b3e1f800242c71ddc5a29926c93c6c5,50,0.1279,0.5,0.4,0.6,0.0975,0.774,0.1285,0.3,0.2,"místní podnikání","MŽP"
Twitter,andrej-babis,10.10.2020 0:00:00,2b3f98d7fc2f33e752cbbcab7f577dfe,42,0.9032,0.6,0.5,0.7,0,0.778,0.222,0.2,0.3,"testování na covid-19;chytrá karanténa","COVID-19;ICŘT"
Facebook,andrej-babis,23.06.2020 0:00:00,2b52b7fec7164aad65c492c897122151,116,0.8516,0.5,0.7,0.6,0.018,0.895,0.087,0.4,0.3,"digitální technologie","Bartoňových;Hambergerem"
Twitter,andrej-babis,28.07.2020 0:00:00,2b54068180c7c10ab3b3be85184c5032,47,0.7096,0.6,0.4,0.7,0,0.862,0.138,0.3,0.2,"školní docházka;hygienická opatření",""
Twitter,andrej-babis,18.03.2020 0:00:00,2b64afc6b5a016724d93e9a0bbb4a492,41,0,0.5,0.6,0.7,0,1,0,0.4,0.3,"mezinárodní spolupráce;podpora občanů",""
Twitter,andrej-babis,01.02.2022 0:00:00,2b66205fbb1d703a1e295713135556dc,41,0.9325,0.5,0.8,0.2,0,0.732,0.268,0.3,0.6,"setkání s lidmi;osobní angažovanost",""
Facebook,andrej-babis,03.10.2020 0:00:00,2b684a3575019118391979f8b0fb2602,17,0.7749,0.7,0.8,0.2,0,0.73,0.27,0.3,0.6,"podpora;upřímnost",""
Facebook,andrej-babis,26.09.2019 0:00:00,2B68AE06994BFC377B30C8AA7AC72F3B,7,0,0.5,0.3,0.2,0,1,0,0.1,0.1,"osn;mezinárodní spolupráce","Guterresem;OSN"
Facebook,andrej-babis,04.06.2020 0:00:00,2b82f5c1ba12c83618d4afc044934292,7,0.7655,0,0.5,0,0,0.602,0.398,0,0.5,"pozdrav;místo;pozitivní atmosféra",""
Twitter,andrej-babis,01.10.2019 0:00:00,2b86eb1f4e2de47037ef618e80a80bad,22,0.4939,0.6,0.5,0.7,0,0.882,0.118,0.4,0.5,"",""
Twitter,andrej-babis,26.08.2020 0:00:00,2b8beb78d0cf05a28bb8eae50986be5c,23,0.6369,0.5,0.7,0.3,0,0.826,0.174,0.2,0.4,"bělorusko",""
Twitter,andrej-babis,19.06.2020 0:00:00,2b8cdf530e28ba8f5662f6debd4c6d64,41,0.9186,0.5,0,1,0,0.78,0.22,0,0,"financování;rozvojová banka;česká republika","Rada Evropy;Rozvojovou bankou Rady Evropy"
Facebook,andrej-babis,05.06.2019 0:00:00,2b8e7330865c93ea3634facf136e3f71,5,0.5719,0.3,0.5,0.2,0,0.709,0.291,0.1,0.4,"výročí;historie;mezinárodní vztahy",""
Facebook,andrej-babis,09.05.2021 0:00:00,2b8f31e0c63c593bb7a86ed9fcb87cc8,21,0.5023,0.4,0.3,0.2,0,0.871,0.129,0.1,0.2,"evropská rada;video","Evropská rada"
Facebook,andrej-babis,16.03.2021 0:00:00,2b915aa2b83928577da3014232a11049,7,-0.7845,0.5,0.8,0.2,0.496,0.504,0,0.3,0.4,"vzpomínka",""
Facebook,andrej-babis,16.02.2017 0:00:00,2B954AA4F633D232E44858F47F3B1A79,13,-0.296,0.4,0.3,0.2,0.167,0.833,0,0.1,0.1,"fotografie","Michl;Vysoká Škola Báňská"
Twitter,andrej-babis,18.01.2022 0:00:00,2ba7bd5748001e6e021f0d6a9712ea3a,15,-0.6597,0.4,0.6,0.3,0.293,0.707,0,0.5,0.2,"obvinění",""
Twitter,andrej-babis,10.09.2020 0:00:00,2bab64bf12571427389922e38c62c9fe,42,0.8555,0.6,0.5,0.7,0,0.789,0.211,0.4,0.5,"podpora ekonomiky;zaměstnanost;finanční pomoc",""
Twitter,andrej-babis,13.11.2020 0:00:00,2bbb5f3e262c898b180ae2ed8929bf77,35,0.5267,0.6,0.4,0.7,0.042,0.837,0.121,0.3,0.5,"bezpečnost země","MPO;Sněmovna"
Facebook,andrej-babis,01.06.2021 0:00:00,2bbc1a6b09ff4a1fe230c69263ab7e8a,3,0,0.1,0.5,0.2,0,1,0,0.3,0.4,"",""
Twitter,andrej-babis,20.01.2021 0:00:00,2bbdd9bf90a67caab701029e8ae9b2ee,21,0.743,0.4,0.7,0.3,0,0.73,0.27,0.2,0.5,"péče o seniory",""
Facebook,andrej-babis,22.11.2019 0:00:00,2bbe74dfe74cb443e8edc28441e66408,21,0.8126,0.6,0.5,0.8,0,0.741,0.259,0.3,0.4,"výběr daní;financování obcí;ekonomický růst",""
Facebook,andrej-babis,08.01.2019 0:00:00,2BC0FDFAF28C5A037964143B8E85DBE4,17,0,0.6,0.2,0.5,0,1,0,0.3,0.1,"","Dvořák;Readem;Vodafone CZ;Vodafone Group"
Facebook,andrej-babis,11.01.2021 0:00:00,2bdbb62343ab4f3338c8060a42164759,7,0.1548,0.3,0.5,0.2,0.152,0.652,0.196,0.4,0.6,"zdravotní rizika;vládní rada;prevence",""
Facebook,andrej-babis,14.11.2019 0:00:00,2be41b5b64ae0adc7d1a3bf62f749de8,50,0.9136,0.5,0.8,0.2,0,0.794,0.206,0.3,0.4,"poděkování","Blesku;Lepší Česko;Mladé frontě DNES;Právu"
Twitter,andrej-babis,15.01.2021 0:00:00,2be6be5dcfeafe7632b0f946088e0bba,33,0.6486,0.8,0.6,0.7,0.049,0.789,0.162,0.4,0.5,"",""
Facebook,andrej-babis,13.06.2020 0:00:00,2be93f11d61ecd288380add1bda50a79,39,0.5411,0.5,0.7,0.4,0.047,0.832,0.121,0.6,0.5,"podpora vzdělávání",""
Twitter,andrej-babis,21.01.2021 0:00:00,2bec22a587ecf6ed7925028c46b445fe,25,0,0.3,0.2,0.5,0,1,0,0.1,0.2,"stravenkový paušál","FKSP;Fondem kulturních a sociálních potřeb"
Twitter,andrej-babis,01.02.2020 0:00:00,2bf15dbc594a6f56d1e012f80df94cdf,48,-0.168,0.5,0.7,0.6,0.07,0.871,0.059,0.4,0.6,"rozpočet evropské unie;investice",""
Twitter,andrej-babis,15.07.2020 0:00:00,2bf49f26fb777c3fc9347537045621ec,39,0.4215,0.6,0.2,0.8,0,0.939,0.061,0.1,0.1,"úvěry;bankovní sektor","COVID III"
Twitter,andrej-babis,22.10.2020 0:00:00,2bf59cea097450b3b277f2d132564bdf,9,0,0.4,0.3,0.5,0,1,0,0.2,0.1,"zdravotní péče",""
Twitter,andrej-babis,15.10.2020 0:00:00,2bfd65bfcfcba7a90f558eeaaadb8655,14,0.2023,0.3,0.5,0.2,0,0.833,0.167,0.4,0.6,"výzva;sociální média",""
Facebook,andrej-babis,12.08.2020 0:00:00,2bff3bda2ce81d4cc60dbb233137d8d7,17,0,0.3,0.5,0.2,0,1,0,0.1,0.4,"diplomacie;česká kultura","Pompea"
Twitter,andrej-babis,19.11.2019 0:00:00,2c0bc5b4c03aad64ad5bead6bc597f17,39,0.4019,0.6,0.5,0.7,0,0.941,0.059,0.4,0.3,"ochrana investic",""
Twitter,andrej-babis,26.11.2020 0:00:00,2c131d127a0e078fd77497ce387623c5,32,0.6495,0.7,0.8,0.2,0,0.6925,0.3075,0.1,0.3,"ocenění",""
Twitter,andrej-babis,17.12.2019 0:00:00,2c1a085e17f5450034968fbc86302e28,44,0.9565,0.7,0.5,0.8,0,0.675,0.325,0.2,0.3,"financování projektů","MZ"
Twitter,andrej-babis,04.10.2019 0:00:00,2c1b596c82aae0a48affeefc6995e94a,41,0.2714,0.5,0.7,0.6,0,0.955,0.045,0.3,0.4,"investice do zdravotnictví;modernizace nemocnic","Thomayerovy nemocnice"
Facebook,andrej-babis,27.08.2019 0:00:00,2c239f0e300b669a32d7e232215e5cc0,8,0,0.5,0.4,0.2,0,1,0,0.1,0.3,"jmenování ministra;kultura;politické události",""
Twitter,andrej-babis,15.12.2020 0:00:00,2c23f713044c96ee28c4a8de6e69fc39,26,0,0.5,0.2,0.7,0,1,0,0.1,0.3,"finanční prostředky","Covid škola v přírodě"
Twitter,andrej-babis,11.01.2022 0:00:00,2c29c426f927ddc900d1f975547063ae,44,0.2244,0.5,0.8,0.2,0.05,0.884,0.066,0.3,0.4,"osobní vztahy",""
Twitter,andrej-babis,06.04.2020 0:00:00,2c2fd5a9138b977bc24b8429ba558f82,27,0.2263,0.5,0.3,0.7,0,0.944,0.056,0.2,0.4,"uvolnění opatření",""
Facebook,andrej-babis,30.04.2016 0:00:00,2C395FE7F8CE56EAC6AB2D8F9EFBB9A4,22,0.7269,0.6,0.5,0.7,0,0.79,0.21,0.2,0.4,"zdravotnictví",""
Twitter,andrej-babis,05.10.2019 0:00:00,2c3aeba8f803afbc4b7e6aaeaa66b47f,17,0,0.5,0.8,0.2,0,1,0,0.3,0.4,"","Morawieckiego"
Twitter,andrej-babis,27.02.2020 0:00:00,2c3c8fbcd07e5c46515ec2b6b1178be1,31,0.4767,0.5,0.7,0.3,0,0.925,0.075,0.2,0.4,"kulturní dědictví","Jiráskovo divadlo;Kounicův dům"
Facebook,andrej-babis,27.11.2019 0:00:00,2c41b26cd1bd71001060fb1d6db94a78,18,0.8268,0.5,0.6,0.4,0,0.686,0.314,0.3,0.7,"","Beat Saber Studio;Facebook"
Twitter,andrej-babis,18.02.2022 0:00:00,2c535c69fe7b28987dbb882f88ef4136,26,-0.9271,0.6,0.7,0.8,0.402,0.527,0.071,0.4,0.5,"onkologie;zdravotní péče;prevence rakoviny",""
Facebook,andrej-babis,13.12.2017 0:00:00,2c55e0213153e36181c1944e8ede0214,11,0,0.5,0.2,0,0,1,0,0,0.1,"místní politika","Skleničkou"
Twitter,andrej-babis,26.03.2020 0:00:00,2c5601049d056e06317a2f3a57878b5d,33,0.4588,0.5,0.2,0.8,0,0.93,0.07,0.1,0.1,"finanční správa","Finanční správa"
Facebook,andrej-babis,03.07.2020 0:00:00,2c58a763a1706a9f685ab5b8b336bef2,5,0,0.4,0.5,0.3,0,1,0,0.2,0.3,"mezinárodní politika","Duda"
Twitter,andrej-babis,12.03.2020 0:00:00,2c598ec0f2d54e6a35645b933f2d306d,25,0.3182,0.3,0.2,0.7,0,0.922,0.078,0.1,0.2,"daňové přiznání",""
Facebook,andrej-babis,10.10.2017 0:00:00,2C5BE190EC2CF6E5901A84CF58FA49DC,69,-0.51,0.5,0.8,0.6,0.075,0.891,0.034,0.7,0.9,"politická odpovědnost","Havlíček;Senát"
Twitter,andrej-babis,04.06.2021 0:00:00,2c635a2d57b15ffe220877a6eb14851f,24,0.4588,0.3,0.5,0.2,0,0.9,0.1,0.1,0.4,"projev;snídaně;komunikace","Novou"
Facebook,andrej-babis,03.05.2019 0:00:00,2C6580292C86632D36C539A710587A50,6,0.4019,0.5,0.6,0.4,0,0.803,0.197,0.3,0.2,"armáda čr;bezpečnostní otázky","Armáda;Speciálních sil Armády ČR"
Twitter,andrej-babis,06.11.2020 0:00:00,2c68a0efab4d4b786142473d8c779421,38,0.765,0.6,0.5,0.7,0,0.817,0.183,0.4,0.3,"podpora sportu;finanční pomoc;sportovní kluby;covid-19;soutěže",""
Twitter,andrej-babis,31.03.2020 0:00:00,2c6b16c441bf1a68e70f8d1e27733f71,39,0.4019,0.6,0.5,0.7,0.041,0.86,0.099,0.4,0.3,"podpora výzkumu","OP VVV"
Twitter,andrej-babis,11.09.2022 0:00:00,2c8b8796a05860ffcd121329fd257321,28,0.2107,0.7,0.2,0.8,0,0.9545,0.0455,0.3,0.4,"státní rozpočet;financování","SFDI"
Twitter,andrej-babis,21.06.2021 0:00:00,2c8de34691bfec3f71bd1f6889d27da6,37,0.3182,0.5,0.3,0.8,0,0.94,0.06,0.2,0.4,"státní rozpočet;investice;věda a výzkum",""
Twitter,andrej-babis,13.05.2021 0:00:00,2c91606272cb311d5ebf167c48a27a0f,28,0.6486,0.4,0.3,0.5,0,0.858,0.142,0.2,0.3,"",""
Facebook,andrej-babis,02.12.2019 0:00:00,2C9465C36DDBCC59DC082E866548B98E,12,0.4033,0.4,0.5,0.2,0,0.847,0.153,0.1,0.3,"evropská unie;politika","Evropská komise;von der Leyen"
Facebook,andrej-babis,24.10.2020 0:00:00,2c9b7fa9713984d2bf3692b66031b09d,12,0.3612,0.6,0.7,0.2,0,0.848,0.152,0.3,0.4,"podpora armády;vlastenectví;bezpečnost",""
Twitter,andrej-babis,04.10.2019 0:00:00,2c9cca82b842cd199cc18c2457106dc3,40,0.5071,0.5,0.4,0.6,0,0.8655,0.1345,0.3,0.5,"podpora státu","Česká pošta;České poště"
Facebook,andrej-babis,09.10.2019 0:00:00,2CA010DEEFC25F47F2C9CC5CEF9319E1,12,0.5859,0.5,0.6,0.4,0,0.743,0.257,0.2,0.3,"podpora osob se zdravotním postižením","Domov Radost pro osoby se zdravotním postižením"
Twitter,andrej-babis,30.01.2020 0:00:00,2caa01d190fcf2b53c97aa17c4921cb7,39,0.8271,0.7,0.3,0.8,0,0.785,0.215,0.2,0.1,"daňové úniky",""
Twitter,andrej-babis,08.01.2021 0:00:00,2cb1819e5608f5d8d52ad7f131ab9e86,27,0,0.6,0.5,0.4,0,1,0,0.3,0.2,"",""
Facebook,andrej-babis,16.11.2019 0:00:00,2cb29a227279f459685a3b9ef04f509b,38,0.4559,0.7,0.6,0.8,0.174,0.609,0.217,0.5,0.9,"veřejné finance;nezaměstnanost;pracovní trh",""
Twitter,andrej-babis,04.09.2020 0:00:00,2cbcdff82282bc80876f03784bbf761b,47,0.6002,0.5,0.4,0.7,0,0.922,0.078,0.3,0.2,"stravenky",""
Facebook,andrej-babis,17.06.2020 0:00:00,2cbfd5b0124d3dc5e4b8a4fdaa8f1db9,5,0.4033,0.3,0.5,0.2,0,0.747,0.253,0.1,0,"",""
Twitter,andrej-babis,25.07.2022 0:00:00,2cc24dd03d146518a59cd9a17d7f059e,29,-0.504,0.5,0.8,0.7,0.112,0.832,0.055,0.6,0.9,"finanční politika;vládní odpovědnost;sociální pomoc","EU"
Twitter,andrej-babis,09.06.2020 0:00:00,2cc8a32a56e4f2a326c61de97a6c6165,37,0.743,0.6,0.3,0.8,0,0.86,0.14,0.2,0.4,"novela daňového řádu;daňové povinnosti","MOJE daně"
Twitter,andrej-babis,18.12.2022 0:00:00,2ccabe5939620bd2ba93f2dcb7cc4cd9,43,0.5499,0.3,0.7,0.2,0.03,0.856,0.114,0.1,0.2,"sport;fotbal;přátelství","Messi"
Twitter,andrej-babis,14.04.2021 0:00:00,2cd22937bb1e9a2cb633fc7c6b9a5c2a,36,0,0.6,0.3,0.8,0,1,0,0.4,0.2,"veřejné finance;úspory;konvergenční program",""
Twitter,andrej-babis,24.07.2020 0:00:00,2cd40d3515e49a39cb87d95f4f56189d,46,0.9516,0.6,0.8,0.7,0.041,0.648,0.312,0.4,0.3,"diplomacie;řešení problémů;mezinárodní vztahy",""
Twitter,andrej-babis,05.03.2020 0:00:00,2cddaa31aa2ba1154d07a2c625f89aa3,43,0.1779,0.6,0.7,0.5,0.066,0.804,0.13,0.4,0.3,"dezinformace;politická odpovědnost;veřejná komunikace","Hohlmeierovou;Merkelová"
Facebook,andrej-babis,02.02.2017 0:00:00,2CEE6F3C732DAB22E6B855318317152E,16,-0.631,0.3,0.7,0.2,0.206,0.794,0,0.1,0.4,"politická vyjádření","Jílková"
Facebook,andrej-babis,08.09.2019 0:00:00,2cf1055a4740e595ce268f33ca9ea38e,220,-0.9625,0.8,0.7,0.9,0.116,0.838,0.046,0.4,0.6,"reverse charge;evropská unie","Evropská unie;Evropská komise;Evropská unie;komise;Schillerová;VAT GAP"
Twitter,andrej-babis,12.02.2020 0:00:00,2cf4d4da4d6a31144435b72b794e97ee,40,0.0839,0.6,0.4,0.8,0.063,0.887,0.05,0.3,0.2,"očkování dětí",""
Twitter,andrej-babis,27.02.2020 0:00:00,2d013b8e8ccbe707ff909081c41e8b52,34,0,0.5,0.6,0.8,0,1,0,0.3,0.4,"",""
Facebook,andrej-babis,19.08.2020 0:00:00,2d07e1e79dc4830f796a40ad83bce2aa,4,0,0.3,0.5,0.2,0,1,0,0.4,0.1,"evropská rada;politická komunikace","Evropská rada"
Twitter,andrej-babis,22.10.2020 0:00:00,2d0bec4e58232ff7bcb52f7bce77d85d,9,0.3612,0.4,0.5,0.3,0,0.762,0.238,0.2,0.1,"",""
Twitter,andrej-babis,06.11.2019 0:00:00,2d0ef0ac6014d094ef992ecb9af100b6,42,0.1027,0,0.1,0.2,0.076,0.819,0.105,0.3,0.4,"",""
Twitter,andrej-babis,12.09.2021 0:00:00,2d0f6acd684027d820401a6e9b69b894,42,0.0094,0.5,0.6,0.4,0.064,0.871,0.065,0.3,0.7,"",""
Twitter,andrej-babis,12.04.2020 0:00:00,2d1520ffc35e29ab03deaffa3c941a18,41,0.8122,0.7,0.6,0.8,0,0.815,0.185,0.3,0.2,"nošení roušek",""
Twitter,andrej-babis,18.03.2020 0:00:00,2d1593a77d5c22d44d523f2b6b696bd0,39,0,0.7,0.3,0.8,0,1,0,0.2,0.4,"úspory",""
Twitter,andrej-babis,28.11.2019 0:00:00,2d1bc115da146e1d7e109f7cc6823856,34,0.75,0.6,0.8,0.2,0,0.829,0.171,0.3,0.4,"","Domova"
Facebook,andrej-babis,16.12.2017 0:00:00,2D1EF6F7C2F97AABCB6FE82AC4492BE3,22,0.128,0.5,0.8,0.2,0.079,0.824,0.097,0.3,0.6,"hudební akce;zábava","Csáková;David;Kolář;Mandrage;No Name;Slza;Žbirka"
Facebook,andrej-babis,15.10.2019 0:00:00,2D221E95CF5DCEA09C33FD09ECAF9FDB,9,0.5994,0,0.2,0,0,0.719,0.281,0,0.1,"pozdrav;komunita;pozitivní atmosféra",""
Facebook,andrej-babis,27.06.2019 0:00:00,2D2225288B3E8DE7A27812131F075A50,7,0,0.1,0.4,0.2,0,1,0,0.3,0.5,"technologie;vzdělání",""
Facebook,andrej-babis,23.10.2019 0:00:00,2D2663525721D8AA7ADB2129E6BB9E01,8,0,0,0,0,0,1,0,0,0,"budoucnost;technologie;výstava",""
Facebook,andrej-babis,22.06.2017 0:00:00,2d2ff8c1ee832033656d8f1a4930a781,208,0.6218,0.5,0.7,0.6,0.026,0.893,0.0815,0.4,0.5,"","Baťa"
Twitter,andrej-babis,03.12.2020 0:00:00,2d4699fa296869893230db4c970dc74e,20,0,0.5,0.2,0.7,0,1,0,0.1,0.3,"daňové přiznání;online služby",""
Twitter,andrej-babis,15.03.2023 0:00:00,2d511cb74b913d08118d84699f38623e,24,0.3353,0.4,0.7,0.3,0.161,0.639,0.2,0.5,0.6,"",""
Facebook,andrej-babis,24.11.2019 0:00:00,2d5242d883e10045b1a3ab063608ac99,52,0.7902,0.5,0.6,0.4,0,0.873,0.127,0.3,0.2,"podpora podnikání",""
Twitter,andrej-babis,27.07.2020 0:00:00,2d56867d426569ca3a0856423dae43bc,43,-0.3182,0.6,0.3,0.8,0.059,0.911,0.03,0.2,0.1,"covid-19;opatření",""
Twitter,andrej-babis,11.09.2022 0:00:00,2d5ac950c93ec0b1d3a1708b464bcfba,23,-0.1132,0.5,0.4,0.7,0.064,0.936,0,0.3,0.6,"těžba uhlí;energetická politika","Uhelná komise"
Facebook,andrej-babis,01.09.2020 0:00:00,2d617ba35e3ac391cd363ffdceb17a43,6,0,0.3,0.5,0.2,0,1,0,0.1,0.4,"události","O 2 Universum"
