;EU;ČR;Praha;Česká republika;SPD;Babiš;Česko;Praze;ANO;ČSSD;Evropský parlament;ODS;Brno;Bruselu;Sněmovně;Senátu;Babiše;KSČM;KDU ČSL;Evropské unie;České republice;TOP 09;USA;Zeman;NATO;Evropské komise;Zemana;EP;Německu;Sněmovny;V 4;Okamura;Brusel;ČT;Francie;Německo;Německa;Piráti;Schillerová;Poslanecké sněmovny;STAN;Komise;Ukrajina;Poslanecké sněmovně;Pirátů;EK;Číny;EET;Číně;Hamáček;Senát;Evropská unie;Ostravě;Babišovi;Havlíček;Evropské unii;Ostrava;Francii;Československa;OSN;Sýrie;Unie;nan;Sýrii;ČT 24;Agrofert;Senát Parlamentu ČR;Czech Republic;Piráty;Rusku;Polsko;Rusko;Evropské rady;UK;Havla;Evropskou unii;Turecka;Ruska;HDP;Maláčová;Polska;Čína;Sněmovna;ŘSD;Slovensko;Havlíčkem;Rakousku;Británie;Pražském hradě;Maďarsko;České televize;Evropská komise;Itálie;Turecko;CO 2;Parlamentu;Plzni;Salvini;Trikolóra;Českou republikou;MPO;Le Pen;České;Salvinim;Olomouci;Polsku;PS;Slovensku;Masaryka;NKÚ;Německem;Ústavní soud;New Yorku;Karlovy Vary;Schillerovou;Macron;Čapí hnízdo;Agrofertu;Maďarsku;Juncker;Trumpa;Afghánistánu;republiky;Merkelová;Plzeň;Klause;AB;Fiala;Itálii;MPSV;Klaus;Čínou;ČEZ;Schillerové;Maďarska;Olomouc;FB;Rakousko;TV Barrandov;Brabec;Slovenska;Vojtěch;Evropské radě;Dostálová;Kalousek;Poslanecká sněmovna Parlamentu České republiky;Wildersem;Johnson;Ostravy;Štrasburku;Události komentáře;Zlíně;Trump;Pardubice;BIS;Karlových Varech;Británii;Orbán;Švédsku;Izrael;Turecku;Pražský hrad;Zemanovi;Maláčové;Velké Británie;OECD;Havel;Unii;Huawei;Parlamentu České;Ředitelství silnic a dálnic;Hamáčka;Moravce;Kremlík;Velká Británie;Velké Británii;Prague;Hřib;Gotta;Zlín;Ministerstvo financí;Sněmovnou;Soukupa;David;MF;Hrad;Evropskou komisi;Iráku;Komisi;Putin;Mac;Mae;Staněk;SSSR;Sokolově;Jourová;Kladno;Ústavního soudu;ČNB;Zemanem;KSČ;Palacha;Brabcem;Ruskem;OKD;Evropské komisi;WHO;Staňka;Charanzová;Soros;Benešová;OZE;Salviniho;Toman;Starostové a nezávislí;D 1;Ministerstvo dopravy;SŽDC;Rady;Rakouska;Paříži;Vojtěchem;Šojdrová;Ústí nad Labem;Moskvě;Scheinherr;Československu;ENF;Bruselskou elitou;Pardubicích;Hradci Králové;Úřadu vlády;Association for Accessible Medicines;Dlabajová;Izraeli;von der Leyen;Gott;LIVE;Coelho;USAF;Macrona;Ředitelství silnic a dálnic ŘSD;Varšavské smlouvy;Kladně;Belgie;Islámského státu;Česká televize;Evropa národů a svobody;Svobodnými;Zahradil;Poslanecká sněmovna;Hlaváček;StB;Španělsko;Ministerstva financí;UNESCO;Ministerstvo pro místní rozvoj;Lánech;Olomouce;ČVUT;ČTK;Indie;Rumunska;Vídni;Česká pošta;BBQGuys NewYearsEve;Čaputová;Evropskou radu;Ťok;České televizi;Kyjev;IT;Škoda Auto;Masaryk;Petříček;Událostech komentářích;Hradě;Washingtonu;Nejvyšší kontrolní úřad;Hitler;Radě;Pellegrini;Zdechovský;MMR;Erdogan;Partii;New York;Českých Budějovicích;Pražského hradu;Švýcarsko;Kalouska;Pekingu;Švédsko;Bratislavě;Havlíčka;Maláčovou;Vídeň;Čaputové;Jourovou;Jihlavy;Liberec;Most;Anderson Land Use;Niskanen;MŽP;Tureckem;Benešové;islámu;Berlíně;Bratislava;Český rozhlas;Švédska;Radě EU;Izraele;Kramářova;vila;Kubera;Hamáčkem;Plaga;Československo;Znojmě;Jakla;Senátem;Řecku;Mladé Boleslavi;Parlament;PSP;Jourové;Kladna;AfD;Íránu;Nejvyššího kontrolního úřadu;Okamury;Litoměřicích;Vondráček;Spojené státy;Orbánem;Orbána;Estonska;Michálka;Polčák;Schwarzenberg;Evropská rada;Nováková;PS PČR;Parlamentní listy;EPP;Londýně;Litoměřice;Hnutí ANO;Ministerstvo průmyslu a obchodu;Svoboda;Makedonie;Svoboda a přímá demokracie;Právu;Slovenské republiky;Francií;Primě;Ministerstvo životního prostředí;Singapuru;Plzně;Šumperk;Spojených států;Trumpem;Davosu;Varšava;Dostálovou;Dánsko;SFDI;Michálek;Dánska;Vystrčil;Liberci;Lega;Finsku;HAPPIEST MOMS IN THE;Jihlava;Hřiba;Merkelové;Budapešti;Dzurilla;Srbska;Pirátům;Sorose;Horákové;Kroměříži;Hradu;Novákovou;eurozóny;Tomanem;Evropskou komisí;Lucemburku;Akademie věd;Kremlíka;Rada;Řecko;Japonska;Chebu;Čínu;KDU
Moravce;6;3;3;1;3;1;4;2;3;2;2;6;0;1;2;3;0;0;0;3;2;0;3;0;1;1;2;0;2;3;0;0;0;3;1;1;1;2;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;2;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;2;0;1;0;0;4;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Kremlík;10;8;11;11;0;5;13;8;4;3;3;3;4;4;4;0;1;0;1;6;6;0;5;1;6;6;0;0;4;1;6;0;0;0;2;2;3;2;9;0;0;1;1;0;1;0;1;1;0;1;1;2;2;2;10;4;1;1;1;3;0;2;0;0;0;0;0;3;0;0;0;1;2;1;1;1;2;0;6;2;1;0;3;2;0;7;3;0;2;0;1;2;1;1;1;3;3;0;0;1;0;0;0;0;1;0;0;4;1;0;3;0;2;1;6;1;0;0;3;1;0;1;0;0;0;0;0;0;0;0;2;0;3;5;1;0;0;1;0;9;2;5;4;4;0;0;0;1;0;0;0;0;1;0;0;0;1;2;0;1;2;1;0;1;2;2;1;1;0;0;3;1;0;0;0;0;0;2;1;0;2;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;2;0;2;1;0;5;0;0;3;0;2;0;0;0;1;0;5;1;2;0;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0;2;1;0;2;0;0;0;0;0;0;1;0;2;1;0;2;1;1;0;0;1;2;1;2;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;2;0;1;0;0;0;0;0;0;1;0;0;0;2;1;0;0;2;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;2;2;0;0;0;2;0;0;0;0;1;1;0;1;0;2;0;1;0;0;0;5;1;1;0;0;0;0;0;3;3;0;0;2;0;0;0;1;0;0;3;0;2;2;3;0;0;0;2;0;0;1;1;2;0;0;3;0;2;2;0;0;0
Velká Británie;16;9;6;9;7;4;7;1;4;5;3;3;3;7;0;0;0;1;4;7;4;2;6;0;0;5;3;0;2;1;5;0;2;0;5;4;2;1;3;1;1;3;1;3;0;0;0;2;1;1;0;6;0;0;2;5;3;1;0;3;2;3;0;4;0;0;0;2;0;1;3;3;2;0;1;2;1;1;4;0;0;2;0;0;3;4;3;3;2;5;0;3;5;1;1;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;4;2;3;1;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;3;2;0;0;3;0;2;2;5;3;1;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0;1;4;0;1;0;2;1;0;2;0;0;2;1;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;1;0;2;2;0;3;0;0;0;1;1;2;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;3;2;1;0;2;1;0;0;0;2;1;1;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;2;5;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;1;1;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;3;0;0;0;0;0;2;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1;2;0;0;0;0;0;0;0
Velké Británii;10;6;3;8;11;5;3;3;3;3;2;2;1;2;2;0;1;3;1;0;1;1;4;0;2;1;1;0;2;1;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;3;0;0;1;0;1;2;1;2;0;0;2;0;0;1;1;0;1;1;0;1;0;2;0;1;0;2;2;1;1;1;0;1;0;0;0;1;2;3;1;2;1;0;1;1;0;1;0;2;0;0;0;1;1;2;0;2;0;1;1;0;0;0;2;0;0;0;1;0;1;0;1;0;1;0;1;1;0;3;2;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;2;1;0;1;0;0;0;0;0;0;1;0;0;1;1;1;2;1;0;0;3;0;0;0;0;1;0;0;0;0;4;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0
Prague;1;3;4;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hřib;2;5;20;5;1;4;2;8;3;0;1;1;2;1;0;0;1;0;1;0;3;2;1;1;0;1;0;0;1;0;1;0;0;0;1;1;1;6;1;0;1;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;0;1;0;2;0;0;2;0;0;0;1;0;1;0;1;1;0;0;2;0;0;0;0;0;3;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
Gotta;2;2;2;2;0;4;2;2;1;0;0;1;1;0;1;0;0;1;0;0;1;0;2;0;0;0;0;0;1;2;1;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;2;0;1;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;2;1;0;0;0;0;0;2;1;0;2;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;1;0;1;0;0;0;0;3;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Zlín;0;2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ministerstvo financí;10;7;9;13;2;4;10;6;2;4;2;5;3;4;8;3;2;2;3;5;7;1;7;1;3;8;1;0;5;3;4;1;1;0;4;3;1;3;6;2;1;3;2;1;1;0;1;6;2;1;1;2;0;2;8;4;2;1;2;2;0;0;0;0;0;1;0;2;0;1;3;0;2;0;4;1;1;0;6;2;1;1;4;3;3;8;3;2;1;0;0;4;0;1;3;1;1;0;0;1;0;0;0;0;0;1;0;2;0;0;1;0;2;2;5;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;4;7;0;0;0;1;0;3;0;4;4;4;0;0;0;1;0;0;0;0;0;0;0;1;2;1;0;2;2;0;0;1;0;2;0;0;0;0;4;1;1;2;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;2;0;0;0;5;1;0;1;2;0;0;0;2;0;0;1;0;2;2;1;1;0;0;3;0;1;0;0;0;0;0;1;1;2;0;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;1;3;2;7;1;1;0;0;1;0;2;3;0;0;1;0;0;0;3;2;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;1;2;2;2;0;0;3;0;0;0;0;0;0;2;1;0;2;2;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;1;2;2;0;1;1;0;0;0;1;0;0;2;0;1;2;1;2;0;0;1;0;0;0;0;3;0;0;4;0;1;0;0;0;0
Sněmovnou;5;7;2;8;10;5;5;5;11;7;1;8;2;1;7;2;3;6;8;2;1;5;2;0;1;0;4;0;1;7;0;0;0;0;2;0;2;4;0;0;4;0;0;1;7;0;0;2;0;0;3;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;4;0;0;0;0;0;1;0;2;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;3;0;0;0;0;3;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
Soukupa;3;5;2;4;1;0;2;0;2;3;1;3;2;2;2;0;0;0;2;2;2;0;2;1;0;2;3;0;0;0;2;5;1;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;2;0;2;2;1;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;5;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
David;17;5;2;6;16;1;0;0;5;4;14;4;0;4;0;0;0;3;3;4;0;4;4;1;3;4;0;5;1;0;1;1;2;0;1;0;0;2;0;0;2;3;1;0;1;0;0;0;0;1;0;2;0;1;0;1;0;2;0;3;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;3;0;1;0;2;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
MF;0;2;1;0;0;4;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hrad;3;2;1;0;3;4;1;0;0;3;2;2;0;1;2;0;3;0;0;1;0;1;0;4;1;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
